CustomerKey,First Name,Last Name,Full Name,Age,Gender,DateFirstPurchase,CommuteDistance,Customer City,Customer Country
11000,Jon,Yang,Jon Yang,50,Male,2011-01-19,1-2 Miles,Rockhampton,Australia
11001,Eugene,Huang,Eugene Huang,45,Male,2011-01-15,0-1 Miles,Seaford,Australia
11002,Ruben,Torres,Ruben Torres,50,Male,2011-01-07,2-5 Miles,Hobart,Australia
11003,Christy,Zhu,Christy Zhu,48,Female,2010-12-29,5-10 Miles,North Ryde,Australia
11004,Elizabeth,Johnson,Elizabeth Johnson,42,Female,2011-01-23,1-2 Miles,Wollongong,Australia
11005,Julio,Ruiz,Julio Ruiz,45,Male,2010-12-30,5-10 Miles,East Brisbane,Australia
11006,Janet,Alvarez,Janet Alvarez,45,Female,2011-01-24,5-10 Miles,Matraville,Australia
11007,Marco,Mehta,Marco Mehta,52,Male,2011-01-09,0-1 Miles,Warrnambool,Australia
11008,Rob,Verhoff,Rob Verhoff,46,Female,2011-01-25,10+ Miles,Bendigo,Australia
11009,Shannon,Carlson,Shannon Carlson,52,Male,2011-01-27,5-10 Miles,Hervey Bay,Australia
11010,Jacquelyn,Suarez,Jacquelyn Suarez,52,Female,2011-01-14,5-10 Miles,East Brisbane,Australia
11011,Curtis,Lu,Curtis Lu,52,Male,2010-12-30,10+ Miles,East Brisbane,Australia
11012,Lauren,Walker,Lauren Walker,42,Female,2013-03-16,1-2 Miles,Bremerton,United States
11013,Ian,Jenkins,Ian Jenkins,42,Male,2013-04-13,0-1 Miles,Lebanon,United States
11014,Sydney,Bennett,Sydney Bennett,48,Female,2013-03-23,1-2 Miles,Redmond,United States
11015,Chloe,Young,Chloe Young,37,Female,2013-01-18,5-10 Miles,Burbank,United States
11016,Wyatt,Hill,Wyatt Hill,37,Male,2013-02-09,5-10 Miles,Imperial Beach,United States
11017,Shannon,Wang,Shannon Wang,72,Female,2011-01-12,5-10 Miles,Sunbury,Australia
11018,Clarence,Rai,Clarence Rai,66,Male,2011-01-17,5-10 Miles,Bendigo,Australia
11019,Luke,Lal,Luke Lal,38,Male,2013-02-12,5-10 Miles,Langley,Canada
11020,Jordan,King,Jordan King,37,Male,2012-12-29,1-2 Miles,Metchosin,Canada
11021,Destiny,Wilson,Destiny Wilson,37,Female,2013-01-23,1-2 Miles,Beaverton,United States
11022,Ethan,Zhang,Ethan Zhang,37,Male,2013-01-20,5-10 Miles,Bellingham,United States
11023,Seth,Edwards,Seth Edwards,37,Male,2013-02-17,1-2 Miles,Bellflower,United States
11024,Russell,Xie,Russell Xie,37,Male,2013-06-27,5-10 Miles,Concord,United States
11025,Alejandro,Beck,Alejandro Beck,70,Male,2011-01-06,1-2 Miles,Hawthorne,Australia
11026,Harold,Sai,Harold Sai,70,Male,2011-01-23,1-2 Miles,Goulburn,Australia
11027,Jessie,Zhao,Jessie Zhao,69,Male,2011-01-16,5-10 Miles,Warrnambool,Australia
11028,Jill,Jimenez,Jill Jimenez,70,Female,2011-01-26,1-2 Miles,St. Leonards,Australia
11029,Jimmy,Moreno,Jimmy Moreno,69,Male,2011-01-19,1-2 Miles,Bendigo,Australia
11030,Bethany,Yuan,Bethany Yuan,63,Female,2011-02-05,1-2 Miles,Cloverdale,Australia
11031,Theresa,Ramos,Theresa Ramos,68,Female,2011-02-01,1-2 Miles,Matraville,Australia
11032,Denise,Stone,Denise Stone,69,Female,2011-02-18,1-2 Miles,Melbourne,Australia
11033,Jaime,Nath,Jaime Nath,63,Male,2011-02-15,5-10 Miles,Milsons Point,Australia
